ملخص عقد بيع – نظام إدارة المبيعات
شركة الأفق للتطوير العقاري

رقم العقد          : AUF-2025-0008
تاريخ التوقيع      : 2025-12-13
اسم المشتري        : محمد العنزي
رقم الهوية         : 1930103105
رقم الجوال         : 0518347382
المشروع            : أبراج الشاطئ – جدة
رقم الوحدة         : CST-24054
نوع الوحدة         : دوبلكس
المساحة            : 330 م²
إجمالي الثمن       : 4,075,000 ر.س
طريقة السداد       : تمويل بنكي
الدفعة المقدمة     : 815,000 ر.س
عدد الأقساط        : 1
قيمة القسط         : 3,265,000 ر.س
جهة التمويل        : بنك البلاد
تاريخ التسليم      : 2027-06-01

ملاحظات: الثمن غير شامل ضريبة التصرفات العقارية (5%). تُطبق سياسة الإلغاء المعتمدة.
